Options:
Model:                           MultiState
Tree File Name:                  Artiodactyl.trees
Data File Name:                  Artiodactyl.txt
Log File Name:                   Artiodactyl.txt.log.txt
Summary:                         False
Seed                             4032721794
Analsis Type:                    Maximum Likelihood
ML attempt per tree:             10
Precision:                       64 bits
Cores:                           1
No of Rates:                     2
Base frequency (PI's)            None
Character Symbols:               D,G
Using a covarion model:          False
Restrictions:
    qDG                          None
    qGD                          None
Tree Information
     Trees:                      500
     Taxa:                       17
     Sites:                      1
     States:                     2
Tree No	Lh	qDG	qGD	Root P(D)	Root P(G)	
269	-7.591117	6.530527	6.280890	0.167485	0.832515	
270	-7.396898	6.730406	6.033433	0.252978	0.747022	
271	-7.558428	6.323093	5.945330	0.214510	0.785490	
272	-7.739810	6.989229	5.467796	0.283936	0.716064	
273	-8.092878	6.276790	6.962382	0.251041	0.748959	
274	-7.667758	6.084078	5.779730	0.180060	0.819940	
275	-7.890331	7.433196	5.576374	0.341784	0.658216	
276	-7.716233	5.165735	5.125427	0.138913	0.861087	
277	-7.861224	6.776292	5.358661	0.272713	0.727287	
278	-7.050008	7.280270	6.210913	0.253395	0.746605	
279	-8.260274	5.546137	5.187072	0.236136	0.763864	
280	-7.897109	6.842449	5.718533	0.237963	0.762037	
281	-7.512214	4.934558	4.953536	0.105379	0.894621	
282	-7.866957	6.637364	5.909895	0.276980	0.723020	
283	-7.199771	6.539489	5.496760	0.199198	0.800802	
284	-8.094794	4.677497	4.543862	0.170876	0.829124	
285	-7.613649	6.681386	5.778777	0.296420	0.703580	
286	-7.936094	8.571349	7.625210	0.276330	0.723670	
287	-7.510079	6.404930	5.571076	0.200686	0.799314	
288	-8.192161	6.166974	4.660849	0.301303	0.698697	
289	-8.018645	6.603901	6.052184	0.259791	0.740209	
290	-7.552299	4.933850	5.026618	0.160566	0.839434	
291	-7.908721	8.057222	7.324974	0.274088	0.725912	
292	-8.074986	6.391491	5.545594	0.193664	0.806336	
293	-7.567418	7.482871	5.999464	0.328300	0.671700	
294	-7.454470	5.883352	4.923890	0.250953	0.749047	
295	-7.040249	4.237391	5.101551	0.081169	0.918831	
296	-7.304815	6.311172	5.732892	0.237851	0.762149	
297	-7.793486	6.940899	4.989427	0.322397	0.677603	
298	-8.180238	6.912674	4.723328	0.277285	0.722715	
299	-7.493981	7.641653	5.723652	0.326964	0.673036	
300	-7.562451	5.518170	4.560890	0.247455	0.752545	
301	-8.159206	6.803924	7.267987	0.275410	0.724590	
302	-7.513805	6.579878	6.759981	0.186473	0.813527	
303	-7.472094	5.170353	4.705162	0.269642	0.730358	
304	-8.338968	7.191036	6.108680	0.301931	0.698069	
305	-7.632223	4.342163	5.468516	0.103054	0.896946	
306	-7.464668	6.636368	5.873142	0.160611	0.839389	
307	-7.529048	6.346014	4.981282	0.252207	0.747793	
308	-7.924311	5.512905	5.240056	0.177019	0.822981	
309	-7.929104	5.193225	5.325855	0.155630	0.844370	
310	-7.459811	4.516708	5.632345	0.124943	0.875057	
311	-8.248467	8.256603	6.539215	0.319137	0.680863	
312	-7.802676	6.080146	5.363550	0.182948	0.817052	
313	-7.281429	7.130630	5.457560	0.184131	0.815869	
314	-7.398127	7.352370	5.651002	0.292526	0.707474	
315	-8.150416	7.552898	6.087194	0.271971	0.728029	
316	-7.594589	4.401336	5.842485	0.107748	0.892252	
317	-7.791242	7.272276	5.737397	0.305936	0.694064	
318	-8.109896	9.765614	7.574677	0.272252	0.727748	
319	-7.454417	8.237321	5.755606	0.362332	0.637668	
320	-7.206630	6.588591	5.347258	0.215303	0.784697	
321	-7.250414	6.989117	5.743605	0.313562	0.686438	
322	-7.519608	5.442988	4.923936	0.202507	0.797493	
323	-8.302885	8.655875	8.037955	0.269250	0.730750	
324	-8.084879	8.214164	5.651623	0.396035	0.603965	
325	-7.984563	8.866564	7.014260	0.393787	0.606213	
326	-7.565431	5.344359	6.177876	0.136061	0.863939	
327	-7.924602	6.242601	5.567432	0.227411	0.772589	
328	-7.781507	4.285893	5.067057	0.132927	0.867073	
329	-7.773797	6.724147	5.448674	0.292312	0.707688	
330	-7.819505	7.383280	5.494732	0.295629	0.704371	
331	-7.475268	7.883161	5.123946	0.366834	0.633166	
332	-7.484821	5.975752	6.203624	0.199301	0.800699	
333	-7.276052	6.345751	5.305293	0.273946	0.726054	
334	-7.635562	5.454639	6.678244	0.153156	0.846844	
335	-7.530264	5.098447	4.433549	0.186920	0.813080	
336	-7.499891	6.473309	5.600018	0.259837	0.740163	
337	-8.014136	7.932105	6.819707	0.318482	0.681518	
338	-7.762134	5.556240	6.400286	0.145505	0.854495	
339	-7.781933	7.718276	5.580152	0.380863	0.619137	
340	-8.345913	7.469266	6.810391	0.328280	0.671720	
341	-7.797541	7.998116	6.476712	0.286745	0.713255	
342	-7.133172	7.786703	5.999615	0.301526	0.698474	
343	-8.027825	7.482210	5.680672	0.358561	0.641439	
344	-7.513527	7.348978	6.668278	0.211527	0.788473	
345	-7.765995	5.537045	5.670389	0.199615	0.800385	
346	-7.619694	8.720993	6.770412	0.306839	0.693161	
347	-7.979603	7.120901	5.624888	0.304926	0.695074	
348	-7.271853	2.756555	5.657898	0.050734	0.949266	
349	-7.423477	5.855189	6.323892	0.167362	0.832638	
350	-7.425661	6.047435	5.355069	0.276091	0.723909	
351	-7.465998	7.330973	6.593758	0.239889	0.760111	
352	-7.596645	4.239444	4.412005	0.175563	0.824437	
353	-7.943348	6.657008	6.115967	0.208620	0.791380	
354	-8.088668	8.135939	6.209910	0.399568	0.600432	
355	-7.801690	5.384627	5.771592	0.157591	0.842409	
356	-8.034883	6.813080	5.029716	0.338792	0.661208	
357	-7.396693	6.772129	6.948189	0.156073	0.843927	
358	-7.848347	6.836031	5.549531	0.255099	0.744901	
359	-7.561019	7.125008	5.466031	0.354672	0.645328	
360	-7.384486	7.349073	6.072322	0.185555	0.814445	
361	-7.833972	7.932155	6.518640	0.315379	0.684621	
362	-8.254445	6.819077	6.463674	0.303457	0.696543	
363	-8.152520	8.729165	6.859550	0.343368	0.656632	
364	-7.880018	6.978056	5.872327	0.207071	0.792929	
365	-8.107541	5.599658	5.289117	0.213802	0.786198	
366	-8.188383	7.059249	5.886944	0.288414	0.711586	
367	-7.594719	7.740241	6.981908	0.273404	0.726596	
368	-7.537851	5.451840	5.695616	0.147187	0.852813	
369	-7.435385	6.020630	5.948347	0.206681	0.793319	
370	-7.888316	6.932852	6.007646	0.278422	0.721578	
371	-8.259432	8.911756	7.677854	0.340361	0.659639	
372	-7.923559	9.031704	7.982518	0.242446	0.757554	
373	-7.433584	6.867670	5.594877	0.258828	0.741172	
374	-7.662718	7.257862	5.381523	0.330150	0.669850	
375	-7.686151	5.433786	5.488034	0.145932	0.854068	
376	-7.805087	5.047711	4.896117	0.143105	0.856895	
377	-7.490117	5.330368	5.217153	0.185697	0.814303	
378	-7.450039	9.104189	6.034578	0.308483	0.691517	
379	-7.652328	7.711045	6.266109	0.267551	0.732449	
380	-7.790767	8.038847	5.672449	0.243204	0.756796	
381	-7.772418	4.485267	4.670547	0.158121	0.841879	
382	-7.888373	6.394130	6.372860	0.224003	0.775997	
383	-7.599615	6.471936	5.336543	0.264215	0.735785	
384	-7.708383	6.700235	6.079650	0.240554	0.759446	
385	-7.488874	6.089889	5.080030	0.242540	0.757460	
386	-7.753695	5.387373	6.769278	0.130304	0.869696	
387	-8.434905	8.562727	7.314361	0.276374	0.723626	
388	-7.596547	5.383295	5.325593	0.225572	0.774428	
389	-7.395742	9.143038	7.428929	0.218959	0.781041	
390	-7.542844	5.410330	4.906938	0.236887	0.763113	
391	-7.691732	6.298272	4.923533	0.322874	0.677126	
392	-8.073102	6.882582	5.640739	0.218437	0.781563	
393	-7.629714	6.433522	5.707035	0.227947	0.772053	
394	-7.580509	6.150458	6.508483	0.194402	0.805598	
395	-7.863015	6.488226	5.922507	0.211463	0.788537	
396	-7.738609	6.520766	5.213148	0.322733	0.677267	
397	-7.675746	8.117085	7.086127	0.310338	0.689662	
398	-7.945344	9.668749	8.237423	0.299397	0.700603	
399	-8.138206	7.893004	7.070909	0.251804	0.748196	
400	-6.896238	5.479199	5.817690	0.092409	0.907591	
401	-8.013172	5.532261	6.086699	0.195871	0.804129	
402	-7.841339	9.320814	6.651506	0.316798	0.683202	
403	-7.592717	5.490457	3.959761	0.271198	0.728802	
404	-7.646240	7.663598	5.624042	0.321429	0.678571	
405	-7.362510	6.799237	4.995557	0.265841	0.734159	
406	-7.889861	7.579283	5.763891	0.338290	0.661710	
407	-7.192857	6.748887	4.542488	0.312221	0.687779	
408	-7.993208	7.796146	5.848448	0.285528	0.714472	
409	-7.614221	6.278327	4.799806	0.280391	0.719609	
410	-7.581206	4.704653	5.176142	0.198010	0.801990	
411	-8.215216	6.965928	5.800707	0.314593	0.685407	
412	-7.361997	5.066284	5.201046	0.167696	0.832304	
413	-7.849567	5.303323	5.286723	0.162001	0.837999	
414	-8.296588	5.598253	6.055741	0.210586	0.789414	
415	-7.653004	5.220063	4.987364	0.192063	0.807937	
416	-7.736311	7.028203	5.361241	0.331187	0.668813	
417	-7.828518	6.378599	6.501916	0.168549	0.831451	
418	-8.260757	7.462705	6.230031	0.224781	0.775219	
419	-7.837567	5.729208	5.290298	0.241953	0.758047	
420	-7.544551	6.605990	5.825683	0.207303	0.792697	
421	-7.359161	6.540900	5.659572	0.248202	0.751798	
422	-8.543192	9.078647	6.078743	0.424307	0.575693	
423	-8.115441	6.946154	6.288249	0.239513	0.760487	
424	-7.641410	5.761961	5.211485	0.243236	0.756764	
425	-7.771233	10.002792	6.868986	0.407109	0.592891	
426	-7.819830	7.464963	6.187238	0.258056	0.741944	
427	-7.933053	6.737714	5.608338	0.242887	0.757113	
428	-6.858274	5.825162	5.407143	0.157362	0.842638	
429	-7.480138	8.542329	5.817619	0.294118	0.705882	
430	-7.674256	6.991850	5.240937	0.358959	0.641041	
